Cell line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,CellLine
22Rv1,-5906.176840626399,22899.95744635059,2166.6772587798046,1994.7186557866598,-2939.8357012527254,-540.3915210578848,-1528.5351462939382,-592.871321817914,-909.7203331576437,3958.516811624771,Other
NOMO-1,-1910.7624995788985,-8385.1871821147,2881.01643584827,3936.407591072138,-6559.140185102782,-1579.5635013580459,-1910.5530105210782,-1943.9448976109297,226.2576246688936,-1527.2985705574629,Other
NU-DHL-1,-29272.435535692486,-5370.359760651923,8344.458378728796,9292.408993331737,-13415.520189704313,-4141.037130197783,-521.2558636612496,-5032.5420363737685,497.5284554957641,-4286.895926594617,Other
NU-DUL-1,-14687.74891371205,-8847.725767654676,5600.348058150435,5977.871134996161,-9510.852041610873,4372.0853117335155,360.8410210837484,14.578798142787852,-1167.2906880078076,1659.4655873520564,Other
NUGC-2,-29316.037655605167,3309.330658269013,-4171.72741002924,-2052.059838640022,2175.0553847833503,-824.2294545824849,973.1732597810932,1403.537734617093,-530.8366835714061,6009.779022870182,Other
NUGC-3,19655.05116191058,-139.0424996465359,-505.41052707147196,415.44154594367905,-778.2224703285614,-268.7356087394273,-1166.0115206450193,7742.910267628324,2324.011104399744,-12427.772066306485,Other
NUGC-4,17399.04734636503,-198.04785497803746,3514.3912938249646,4819.800855114865,-7664.959659673967,-5434.35404531828,17501.776743897844,-3582.0250676068504,27.93705275182756,-2667.5658192350243,Other
Namalwa,-6162.848577509335,-6315.531080447796,5499.287624853717,5731.696706506232,-8543.313239388897,4894.673190000777,5424.347327570367,-3620.8859898862775,2.0910443101087663,6672.1987301653435,Other
OAW28,-5075.756258499956,1954.2353642891192,-1012.5189560204034,-460.99859998308585,784.5694981534396,2253.266857304463,-10485.366980696037,1573.151937561144,-995.0241035853272,4471.654605105685,Other
OAW42,-19711.973188681503,432.6702672397975,1719.604705657,3321.380703920821,-5590.888446394901,-1579.158311965918,-332.6655885149338,2242.8771919976184,-619.6737068009406,4162.944036047827,Other
OC 314,24994.68393210148,-7787.717665597676,308.2425685211458,1167.3594915679614,-1858.6623772589573,-1370.8692901291245,3256.42469854166,-3409.994724121762,-381.10510532470624,317.00554047026935,Other
