Cell line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,CellLine
22Rv1,-5973.932204801615,22965.15631984458,3968.608840791732,-1433.0949534342046,-986.0862984320794,-4273.567167307902,-4311.993253099314,662.6397720889269,-4147.484691812671,1009.9601743947426,Other
NOMO-1,-1917.9057526347785,-8277.105577054992,7792.526418786363,-1354.5035037587124,-2272.4342979100848,1593.059710127626,3029.4045129996625,4631.892148651441,6778.040930217458,-2205.1850003283007,Other
NU-DHL-1,-29215.27550726444,-5075.645160488885,18340.963710012657,1095.7008120646422,-5749.034101936371,4384.64671779049,5741.074732241079,7633.323374836522,4986.329917133382,-1726.496115093742,Other
NU-DUL-1,-14558.02344918607,-8690.37155139115,12018.891872048007,-625.1068430111372,986.4194907858364,-2703.7338343641313,3452.04527863988,4828.247210260416,-948.9802036579906,-2313.3446250863217,Other
NUGC-2,-29479.33454861746,3077.6722779728293,-4668.585751415768,962.3300720724861,584.0377139671064,-5367.935573333134,3794.9548652353105,-2568.8611155619374,446.9993271789719,4730.852415555234,Other
NUGC-3,19597.68680117616,-172.4643511738079,447.65729193284227,-1491.705814619548,7256.016786370477,12991.195358899988,2410.9620885029576,6095.841633805397,3373.4571386373186,3555.24018145629,Other
NUGC-4,17327.921248355477,-150.97297503675753,9569.345269612088,18475.85346996307,-2002.3529926752828,2708.3093908413525,-7487.779736269862,-4772.921572801862,1826.3880201624854,3909.263433577614,Other
Namalwa,-6017.562321742808,-6067.3242630928125,10822.822016043356,4209.341473236731,-1291.335540256591,-7845.244328674036,-906.5858734814153,2039.5337186967363,-1405.2432244784084,-2728.7102818494072,Other
OAW28,-5165.8257946921885,1889.9664887523074,-1175.304416089978,-10906.280097553778,264.0965386374186,-4404.840254715133,33.749103753923244,779.8507536265871,755.3028676132061,2123.597608516579,Other
OAW42,-19796.094991228114,456.75189077460357,6658.577881301768,-106.77765917781564,1570.6175902412895,-3826.993076156232,4738.564673724503,-1402.7443515657806,-5378.743277716874,60.41832207793128,Other
